"tested_strain","infected_strain","log_titer","colume_base","minimum_base","distance","sr_coord_1","sr_coord_2","ag_coord_1","ag_coord_2","ag_distance","infected_year","tested_year","year_diff"
"MA/G102/93","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,3.86582322649,-3.65925209251,17.8487705372053,1968,1993,25
"MA/G252/93","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,1.00821760134,-6.97101660754,21.5736362447662,1968,1993,25
"NL/241/93","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,3.94980743914,-5.03276936015,19.2085499111629,1968,1993,25
"NL/1/95","HK/1/68",0,7,7,7,5.62681281374,14.1024349153,4.8999080853,-5.3663960828,19.4823964367017,1968,1995,27
"WE/4/85","HK/1/68",0,7,7,7,5.62681281374,14.1024349153,-2.93102829845,4.27220618697,13.0334201709595,1968,1985,17
"OK/5/88","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-3.74344697613,1.08724962568,16.0373569098151,1968,1988,20
"SI/2/87","HK/1/68",0,7,7,7,5.62681281374,14.1024349153,1.1361156897,3.93970981379,11.1106859441136,1968,1987,19
"VI/7/87","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-3.08097272392,1.38446457939,15.4133804999088,1968,1987,19
"AL/4382/82","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-4.06938708048,6.17695249876,12.5231610994811,1968,1982,14
"LY/2380/81","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-3.8772256585,5.84991105657,12.5869335948326,1968,1981,13
"BI/4791/81","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-3.21262519938,5.9661197449,12.0139622498105,1968,1981,13
"BI/10684/82","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-3.56749348546,6.44703659156,11.9641293798851,1968,1982,14
"OS/13676/83","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-4.11001985226,5.93886921459,12.7062864486636,1968,1983,15
"NL/333/85","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-1.55661870713,5.50800625819,11.2011558491605,1968,1985,17
"BA/1/79","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-5.95302728513,5.43675958284,14.4632854387585,1968,1979,11
"PH/2/82","HK/1/68",0,7,7,7,5.62681281374,14.1024349153,-5.52398658834,5.4384159092,14.1211030958452,1968,1982,14
"CE/1/84","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-1.77170160708,5.67883731254,11.2113786934661,1968,1984,16
"LE/360/86","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-5.16918239171,3.14278865076,15.3839968382714,1968,1986,18
"VI/1/88","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-3.66869578888,1.83434505771,15.3919624783614,1968,1988,20
"CC/2/88","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-3.92483614251,3.14566879938,14.5356362606666,1968,1988,20
"ST/12/88","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-0.531227563768,2.74014177059,12.9237443025364,1968,1988,20
"EN/138/89","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,0.110174291786,2.22560771006,13.0955078192881,1968,1989,21
"EI/3447/89","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,0.0373321669258,2.07972751447,13.2584986762108,1968,1989,21
"EN/427/88","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,0.306243792575,2.75966186513,12.5286453847431,1968,1988,20
"GE/5007/89","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-0.0574542035645,2.27902441813,13.1188386417627,1968,1989,21
"WE/3/90","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-2.05716465741,-1.45493457115,17.3515202537146,1968,1990,22
"WK/1/89","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,0.382290548259,1.53101570509,13.6215122050367,1968,1989,21
"AT/3572DASH5/88","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-0.765040034425,2.75175231042,13.0266564562562,1968,1988,20
"SH/11/87","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,2.1559511562,2.77728642677,11.8450778356681,1968,1987,19
"GU/54/89","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,2.48962650143,2.55676442026,11.9642987733583,1968,1989,21
"HK/1/89","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-0.236371055513,2.36183903844,13.1232052726615,1968,1989,21
"NL/650/89","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,1.77014788858,2.71963397008,12.0184034590066,1968,1989,21
"NL/738/89","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,2.34754238033,3.6489393861,10.9557831009217,1968,1989,21
"SP/35/89","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,0.24489672824,1.63973135993,13.5751243331468,1968,1989,21
"SP/40/89","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-0.31065804852,0.441701204007,14.8952746121394,1968,1989,21
"WE/5/89","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,0.890809621802,0.73251511188,14.1839515574444,1968,1989,21
"ME/2/90","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,0.336134932476,2.64332286746,12.6215102649504,1968,1990,22
"SU/1/90","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-0.258728445388,2.28559296268,13.201414683514,1968,1990,22
"VI/33/92","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-1.8973754818,-0.567266830355,16.4867692048265,1968,1992,24
"NL/891/91","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-2.33663585505,-1.06072207956,17.1271084760746,1968,1991,23
"CA/1/91","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-0.936311728791,2.66538683364,13.1863820884644,1968,1991,23
"EN/260/91","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-2.89985929239,-0.734532004489,17.1125604333299,1968,1991,23
"EN/261/91","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-0.729282218638,-2.44219559672,17.723564620016,1968,1991,23
"MA/G12/91","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-2.92847589203,-0.802510190621,17.185760194114,1968,1991,23
"NL/816/91","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-3.18743777682,-0.751534616676,17.272273282057,1968,1991,23
"AM/4112/92","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-2.00464768962,-0.924317006818,16.8535593493844,1968,1992,24
"ES/1285/92","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-3.24294442347,-1.04487799881,17.5531672915461,1968,1992,24
"FI/220/92","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-3.56594555588,-2.50015836916,18.9776950710937,1968,1992,24
"MA/G58/92","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-1.92284168539,-1.79102522881,17.5954357265925,1968,1992,24
"NI/3129/92","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-2.55756915521,-1.09900095105,17.2646390235193,1968,1992,24
"NL/819/92","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-2.10074383206,-1.79187571611,17.6732634836297,1968,1992,24
"NL/935/92","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-1.94363955145,-0.763821031079,16.6828449275554,1968,1992,24
"PA/583/92","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-3.80149877784,-0.913031198663,17.7301235778968,1968,1992,24
"PA/614/92","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-3.30098651661,-1.12589829075,17.6524143707733,1968,1992,24
"SA/8/92","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-4.03185647992,-1.81085603896,18.6151207763803,1968,1992,24
"SA/23/92","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-4.23737066563,-1.04137325261,18.0731027093063,1968,1992,24
"SA/27/92","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-3.21619026421,-2.56604231265,18.8689384050964,1968,1992,24
"ST/7/92","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-4.21504314506,-0.043000494607,17.2323959927115,1968,1992,24
"VI/68/92","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-1.98920501141,-0.597377942754,16.5556100937058,1968,1992,24
"GE/5366/91","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,0.628322766023,2.1976304198,12.9115945116474,1968,1991,23
"BE/353/89","HK/1/68",0,7,7,7,5.62681281374,14.1024349153,-3.9616507499,-0.777628911417,17.7018341704588,1968,1989,21
"LY/1182/91","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-2.04277681686,-2.34523976907,18.1479642832102,1968,1991,23
"BE/352/89","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-0.887656235217,-1.72057021447,17.1115691368894,1968,1989,21
"PA/467/92","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-2.96619435736,-0.265685892413,16.7416447157264,1968,1992,24
"TI/5957/92","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-2.32124232409,-1.14723158037,17.1966249218603,1968,1992,24
"AT/211/89","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-1.60960669085,1.02829444057,14.9431896327184,1968,1989,21
"SP/34/89","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,1.00890855993,1.21150654485,13.6931031526615,1968,1989,21
"SP/36/89","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,1.28975783267,1.08507620205,13.720848143546,1968,1989,21
"SP/53/89","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,0.0637133740039,1.98506415192,13.3333697763772,1968,1989,21
"VI/1/89","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,2.16461155642,5.3400243777,9.42160686802584,1968,1989,21
"ME/5/90","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-1.81164818618,1.93519019751,14.2608746600592,1968,1990,22
"SH/24/90","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,3.22142495718,0.626521110496,13.6889058589426,1968,1990,22
"BE/32/92","HK/1/68",0,7,7,7,5.62681281374,14.1024349153,4.48910667346,-1.20273783703,15.3474000482263,1968,1992,24
"FI/247/92","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,5.44448604076,-3.62086098382,17.7242337092442,1968,1992,24
"NL/938/92","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,3.16421407112,-0.701060773975,15.0069276399114,1968,1992,24
"SE/C273/92","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,6.83845716229,-2.83915643787,16.9848638382878,1968,1992,24
"ST/12/92","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,4.00293973672,-3.08035195338,17.2593490127743,1968,1992,24
"ST/13/92","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-2.17958654101,-0.186064045534,16.2819247461593,1968,1992,24
"UM/1982/92","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-1.88343345855,-2.34080175789,18.0771632553613,1968,1992,24
"UM/2000/92","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-2.2847364453,-1.72796665,17.6972942959332,1968,1992,24
"AK/4/93","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,6.21149646514,-3.78938137621,17.9013671316287,1968,1993,25
"ES/5458/93","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-1.49157207046,-3.05681028831,18.5771660733606,1968,1993,25
"MA/G101/93","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-3.24655461052,-0.607776140264,17.179259551714,1968,1993,25
"MA/G109/93","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,3.506467679,-4.32543421434,18.5494534730691,1968,1993,25
"MA/G116/93","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-3.43368131665,-1.8122696088,18.3131202687101,1968,1993,25
"MA/G122/93","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,3.64968816866,-4.81862133661,19.0240739998068,1968,1993,25
"MA/G130/93","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,4.79662733798,-2.00706378933,16.1308758732636,1968,1993,25
"NL/3/93","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,2.81272094625,-3.22160969472,17.5511149129802,1968,1993,25
"NL/17/93","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,2.92279927711,-1.47858665912,15.8139154705221,1968,1993,25
"NL/101/93","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,4.88823494427,-1.35563605121,15.4757053239886,1968,1993,25
"NL/115/93","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,4.77527692255,-2.05706373501,16.1819192311467,1968,1993,25
"NL/126/93","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,5.20604427226,-1.21024109081,15.3184559480907,1968,1993,25
"NL/165/93","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-4.10720708978,-1.88748782322,18.7197428579017,1968,1993,25
"NL/179/93","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,3.48349392796,-2.80764873215,17.0453731202898,1968,1993,25
"PA/287/93","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-2.14734166519,-2.57376623173,18.3992707072447,1968,1993,25
"SG/6/93","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,6.2815131443,-4.1117634908,18.2259610473525,1968,1993,25
"YA/56/93","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,6.58878667322,-3.90562949304,18.0337399737615,1968,1993,25
"YA/61/93","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,7.74092466464,-2.69794508241,16.9328744454558,1968,1993,25
"YA/62/93","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,6.9318998971,-3.59489299905,17.7453844028013,1968,1993,25
"NL/399/93","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,0.306469664275,-5.83829806956,20.6382868281634,1968,1993,25
"SD/9/93","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,5.92814349789,-3.28822174843,17.3932670702472,1968,1993,25
"LY/672/93","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,5.15288974415,-3.57402882139,17.6828157630623,1968,1993,25
"LY/1803/93","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,4.99184123179,-2.77173831409,16.8861159265636,1968,1993,25
"NL/357/93","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,4.3124774922,-3.62635570209,17.7774434071017,1968,1993,25
"NL/371/93","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,5.84376176589,-4.71312003383,18.8168056505765,1968,1993,25
"NL/372/93","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,0.515516822105,-6.63961056614,21.3625325621339,1968,1993,25
"NL/398/93","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,3.13147272033,-4.4393786074,18.7089703322326,1968,1993,25
"NL/440/93","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,3.82947150556,-3.53761088497,17.731374780702,1968,1993,25
"OS/2219/93","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,4.07320220471,-5.08314962823,19.2483859115882,1968,1993,25
"OS/2352/93","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,5.28800540492,-2.66949699295,16.7753536593195,1968,1993,25
"ST/20/93","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,3.33528889555,-4.98439248211,19.2238929971574,1968,1993,25
"VI/104/93","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,4.4902112554,-3.35209837833,17.4915006674916,1968,1993,25
"WE/59/93","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,5.22466326502,-4.56181350211,18.6685803757631,1968,1993,25
"SP/19/93","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,0.555022206636,-6.34070858659,21.0628862267538,1968,1993,25
"LY/1815/93","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,4.29786622156,-5.32645753634,19.4742897416635,1968,1993,25
"LY/22686/93","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,5.06037776913,-4.18267634246,18.2938826488098,1968,1993,25
"LY/23602/93","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,3.30700251863,-4.86076540382,19.1045671541747,1968,1993,25
"SP/3/93","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,5.07924709527,-2.83047780782,16.9417638250816,1968,1993,25
"HK/1/94","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,3.73027296427,-5.03425078155,19.2304342868447,1968,1994,26
"HK/2/94","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,4.39590893004,-4.29621103532,18.4397748681261,1968,1994,26
"HK/55/94","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,3.27141111531,-5.55124609456,19.7943197508351,1968,1994,26
"HK/56/94","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,3.73088515216,-5.36912167242,19.563641216469,1968,1994,26
"SA/15/94","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,3.65127717325,-5.25992901566,19.4628846284868,1968,1994,26
"SA/25/94","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,4.00274522417,-5.38377744626,19.5537737466532,1968,1994,26
"GD/25/93","HK/1/68",0,7,7,7,5.62681281374,14.1024349153,5.8096867803,-5.10998488084,19.213290121964,1968,1993,25
"SL/142/93","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,4.36652614241,-2.55796708252,16.7080015927368,1968,1993,25
"SL/160/93","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,5.30601284812,-5.08637487162,19.1914911785546,1968,1993,25
"EN/7/94","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,2.05505848682,-7.89420730045,22.2847413657773,1968,1994,26
"JO/33/94","HK/1/68",0,7,7,7,5.62681281374,14.1024349153,6.56668138493,-5.16907334512,19.2944132733428,1968,1994,26
"FI/338/95","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,1.12890386523,-6.0876391814,20.6850254275725,1968,1995,27
"ST/506/95","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,2.65540934838,-5.26790791408,19.5969237351597,1968,1995,27
"JO/47/94","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,6.09570493306,-4.03040541165,18.1389017898611,1968,1994,26
"GE/A9509/95","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,0.955018190357,-4.71361255079,19.3873491547767,1968,1995,27
"HK/32/95","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,4.07708784441,-5.19799856101,19.3625509645303,1968,1995,27
"GE/6447/91","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-3.46104984325,-1.88049198274,18.3859511557168,1968,1991,23
"LY/1189/91","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-2.35750984054,-1.41434006089,17.4504932282548,1968,1991,23
"LY/1276/91","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-1.64718159353,-2.88075280598,18.4753798286593,1968,1991,23
"LY/1337/91","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-2.8402637087,-1.72892160448,17.9533627516751,1968,1991,23
"LY/1373/91","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-2.52988371244,-1.5911036728,17.6866857165604,1968,1991,23
"LY/1594/91","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-3.51935773983,-1.07179443829,17.7174962190018,1968,1991,23
"LY/23672/91","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-3.68478232418,-1.55924908801,18.220706622743,1968,1991,23
"LY/24103/91","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-3.05272650253,-0.913255401024,17.343741188637,1968,1991,23
"LY/24222/91","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-1.53610370902,-1.70125454603,17.3511951663907,1968,1991,23
"ST/20/91","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-3.14983066387,-1.03560402152,17.4982768747598,1968,1991,23
"FI/218/92","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-3.43651254316,-2.44612207084,18.8679252926375,1968,1992,24
"GE/5113/92","HK/1/68",NA,7,7,NA,5.62681281374,14.1024349153,-3.91956167336,-0.86610845902,17.753606861617,1968,1992,24
