"study","infected_year","tested_year","log_titer"
"smith",1978,1985,5
"smith",1978,1985,5
"smith",1978,1986,4
"smith",1978,1989,1
"smith",1978,1990,0
"smith",1978,1991,0
"smith",1978,1993,0
"smith",1978,1993,0
"smith",1978,1993,0
"smith",1978,1995,0
"smith",1978,1989,1
"smith",1980,1968,0
"smith",1980,1972,0
"smith",1980,1974,0
"smith",1980,1975,0
"smith",1980,1977,0
"smith",1980,1980,9
"smith",1980,1980,8
"smith",1980,1982,7
"smith",1980,1982,6
"smith",1980,1985,5
"smith",1980,1985,5
"smith",1980,1986,5
"smith",1980,1988,0
"smith",1980,1989,0
"smith",1980,1990,0
"smith",1980,1991,0
"smith",1980,1993,0
"smith",1980,1993,0
"smith",1980,1993,0
"smith",1980,1995,0
"smith",1980,1968,0
"smith",1980,1972,0
"smith",1980,1974,0
"smith",1980,1975,0
"smith",1980,1977,5
"smith",1980,1980,8
"smith",1980,1980,9
"smith",1980,1982,7
"smith",1980,1982,8
"smith",1980,1985,6
"smith",1980,1985,6
"smith",1980,1986,6
"smith",1980,1988,0
"smith",1980,1989,0
"smith",1980,1990,0
"smith",1980,1991,0
"smith",1980,1993,0
"smith",1980,1993,0
"smith",1980,1993,0
"smith",1980,1995,0
"smith",1982,1968,0
"smith",1982,1972,0
"smith",1982,1974,0
"smith",1982,1975,0
"smith",1982,1977,3
"smith",1982,1980,7
"smith",1982,1980,8
"smith",1982,1982,8
"smith",1982,1982,7
"smith",1982,1985,5
"smith",1982,1985,5
"smith",1982,1986,5
"smith",1982,1988,0
"smith",1982,1989,0
"smith",1982,1990,0
"smith",1982,1991,0
"smith",1982,1993,0
"smith",1982,1993,0
"smith",1982,1993,0
"smith",1982,1995,0
"smith",1982,1968,0
"smith",1982,1972,0
"smith",1982,1974,0
"smith",1982,1975,0
"smith",1982,1977,5
"smith",1982,1980,8
"smith",1982,1980,8
"smith",1982,1982,9
"smith",1982,1982,8
"smith",1982,1985,7
"smith",1982,1985,8
"smith",1982,1986,8
"smith",1982,1988,0
"smith",1982,1989,0
"smith",1982,1990,0
"smith",1982,1991,0
"smith",1982,1993,0
"smith",1982,1993,0
"smith",1982,1993,0
"smith",1982,1995,0
"smith",1982,1985,4
"smith",1982,1979,7
"smith",1982,1982,8
"smith",1982,1986,4
"smith",1985,1968,0
"smith",1985,1968,0
"smith",1985,1969,0
"smith",1985,1970,0
"smith",1985,1970,0
"smith",1985,1971,0
"smith",1985,1971,0
"smith",1985,1971,0
"smith",1985,1972,0
"smith",1985,1975,0
"smith",1985,1975,0
"smith",1985,1972,0
"smith",1985,1973,0
"smith",1985,1973,0
"smith",1985,1974,0
"smith",1985,1974,0
"smith",1985,1974,0
"smith",1985,1974,0
"smith",1985,1975,0
"smith",1985,1976,5
"smith",1985,1976,3
"smith",1985,1976,6
"smith",1985,1976,3
"smith",1985,1977,3
"smith",1985,1977,3
"smith",1985,1980,6
"smith",1985,1980,6
"smith",1985,1982,8
"smith",1985,1982,7
"smith",1985,1985,7
"smith",1985,1985,8
"smith",1985,1986,7
"smith",1985,1988,5
"smith",1985,1989,5
"smith",1985,1991,0
"smith",1985,1993,0
"smith",1985,1993,0
"smith",1985,1993,0
"smith",1985,1995,0
"smith",1985,1985,6
"smith",1985,1988,4
"smith",1985,1987,4
"smith",1985,1987,5
"smith",1985,1979,6
"smith",1985,1982,6
"smith",1985,1986,5
"smith",1985,1988,5
"smith",1985,1988,6
"smith",1985,1988,5
"smith",1985,1989,5
"smith",1985,1989,4
"smith",1985,1988,5
"smith",1985,1989,5
"smith",1985,1990,2
"smith",1985,1989,4
"smith",1985,1988,5
"smith",1985,1987,4
"smith",1985,1989,4
"smith",1985,1989,5
"smith",1985,1989,4
"smith",1985,1989,3
"smith",1985,1989,4
"smith",1985,1989,4
"smith",1985,1990,4
"smith",1985,1990,5
"smith",1985,1989,4
"smith",1985,1989,4
"smith",1985,1989,4
"smith",1985,1989,5
"smith",1985,1989,4
"smith",1985,1990,4
"smith",1985,1977,5
"smith",1985,1985,7
"smith",1985,1968,0
"smith",1985,1971,1
"smith",1985,1971,1
"smith",1985,1971,1
"smith",1985,1972,1
"smith",1985,1972,0
"smith",1985,1972,1
"smith",1985,1972,1
"smith",1985,1973,1
"smith",1985,1973,1
"smith",1985,1973,1
"smith",1985,1974,0
"smith",1985,1974,1
"smith",1985,1975,0
"smith",1985,1976,3
"smith",1985,1976,3
"smith",1985,1976,3
"smith",1985,1976,3
"smith",1985,1977,4
"smith",1985,1977,3
"smith",1985,1977,1
"smith",1985,1977,3
"smith",1985,1980,7
"smith",1985,1980,7
"smith",1985,1982,6
"smith",1985,1982,7
"smith",1985,1985,7
"smith",1985,1985,8
"smith",1985,1986,8
"smith",1985,1988,7
"smith",1985,1989,6
"smith",1985,1990,6
"smith",1985,1991,6
"smith",1985,1993,0
"smith",1985,1993,0
"smith",1985,1993,0
"smith",1985,1995,0
"smith",1985,1989,3
"smith",1988,1972,0
"smith",1988,1974,0
"smith",1988,1975,0
"smith",1988,1977,0
"smith",1988,1982,2
"smith",1988,1982,3
"smith",1988,1985,5
"smith",1988,1985,6
"smith",1988,1986,7
"smith",1988,1988,9
"smith",1988,1989,8
"smith",1988,1990,5
"smith",1988,1991,4
"smith",1988,1993,2
"smith",1988,1993,2
"smith",1988,1993,2
"smith",1988,1995,0
"smith",1988,1985,7
"smith",1988,1988,6
"smith",1988,1987,8
"smith",1988,1987,6
"smith",1988,1982,7
"smith",1988,1981,8
"smith",1988,1981,7
"smith",1988,1982,6
"smith",1988,1983,7
"smith",1988,1985,7
"smith",1988,1979,5
"smith",1988,1982,5
"smith",1988,1984,6
"smith",1988,1986,6
"smith",1988,1988,7
"smith",1988,1988,7
"smith",1988,1989,8
"smith",1988,1988,8
"smith",1988,1989,8
"smith",1988,1990,6
"smith",1988,1989,8
"smith",1988,1988,10
"smith",1988,1987,8
"smith",1988,1989,7
"smith",1988,1989,9
"smith",1988,1989,7
"smith",1988,1989,7
"smith",1988,1989,7
"smith",1988,1989,7
"smith",1988,1989,8
"smith",1988,1990,9
"smith",1988,1990,9
"smith",1988,1992,6
"smith",1988,1991,6
"smith",1988,1991,9
"smith",1988,1991,6
"smith",1988,1991,5
"smith",1988,1991,5
"smith",1988,1991,7
"smith",1988,1992,7
"smith",1988,1992,5
"smith",1988,1992,4
"smith",1988,1992,6
"smith",1988,1992,6
"smith",1988,1992,6
"smith",1988,1992,7
"smith",1988,1992,5
"smith",1988,1992,6
"smith",1988,1992,4
"smith",1988,1992,5
"smith",1988,1992,4
"smith",1988,1992,5
"smith",1988,1992,6
"smith",1988,1991,8
"smith",1988,1989,5
"smith",1988,1991,5
"smith",1988,1989,5
"smith",1988,1992,6
"smith",1988,1992,6
"smith",1988,1989,8
"smith",1988,1989,7
"smith",1988,1989,6
"smith",1988,1989,8
"smith",1988,1989,5
"smith",1988,1990,8
"smith",1988,1990,5
"smith",1988,1992,3
"smith",1988,1992,2
"smith",1988,1992,6
"smith",1988,1992,0
"smith",1988,1992,3
"smith",1988,1992,8
"smith",1988,1992,6
"smith",1988,1992,6
"smith",1988,1993,0
"smith",1988,1993,5
"smith",1988,1993,6
"smith",1988,1993,3
"smith",1988,1993,5
"smith",1988,1993,3
"smith",1988,1993,3
"smith",1988,1993,5
"smith",1988,1993,5
"smith",1988,1993,4
"smith",1988,1993,3
"smith",1988,1993,4
"smith",1988,1993,4
"smith",1988,1993,5
"smith",1988,1993,6
"smith",1988,1993,0
"smith",1988,1993,0
"smith",1988,1993,0
"smith",1988,1993,0
"smith",1988,1991,5
"smith",1988,1991,6
"smith",1988,1991,4
"smith",1988,1991,5
"smith",1988,1991,5
"smith",1988,1991,5
"smith",1988,1991,5
"smith",1988,1991,6
"smith",1988,1991,6
"smith",1988,1991,6
"smith",1988,1992,4
"smith",1988,1992,5
"smith",1988,1992,5
"smith",1988,1992,6
"smith",1988,1992,5
"smith",1988,1992,7
"smith",1988,1992,5
"smith",1988,1992,5
"smith",1988,1992,5
"smith",1988,1992,5
"smith",1988,1992,5
"smith",1988,1992,6
"smith",1988,1992,5
"smith",1988,1992,5
"smith",1988,1992,5
"smith",1988,1992,4
"smith",1988,1992,5
"smith",1988,1992,5
"smith",1988,1992,4
"smith",1988,1992,6
"smith",1988,1992,4
"smith",1990,1968,0
"smith",1990,1972,0
"smith",1990,1974,0
"smith",1990,1975,0
"smith",1990,1977,0
"smith",1990,1980,0
"smith",1990,1980,0
"smith",1990,1982,0
"smith",1990,1982,0
"smith",1990,1985,0
"smith",1990,1985,0
"smith",1990,1986,0
"smith",1990,1988,6
"smith",1990,1989,5
"smith",1990,1990,7
"smith",1990,1991,6
"smith",1990,1993,2
"smith",1990,1993,0
"smith",1990,1993,0
"smith",1990,1995,0
"smith",1990,1987,2
"smith",1990,1988,7
"smith",1990,1989,6
"smith",1990,1990,7
"smith",1990,1987,4
"smith",1990,1989,4
"smith",1990,1989,6
"smith",1990,1989,6
"smith",1990,1990,5
"smith",1990,1992,8
"smith",1990,1991,8
"smith",1990,1991,6
"smith",1990,1991,8
"smith",1990,1991,6
"smith",1990,1991,8
"smith",1990,1991,8
"smith",1990,1992,8
"smith",1990,1992,8
"smith",1990,1992,6
"smith",1990,1992,7
"smith",1990,1992,8
"smith",1990,1992,7
"smith",1990,1992,9
"smith",1990,1992,8
"smith",1990,1992,7
"smith",1990,1992,6
"smith",1990,1992,7
"smith",1990,1992,6
"smith",1990,1992,7
"smith",1990,1992,9
"smith",1990,1991,5
"smith",1990,1989,6
"smith",1990,1991,7
"smith",1990,1989,5
"smith",1990,1992,8
"smith",1990,1992,8
"smith",1990,1990,2
"smith",1990,1992,2
"smith",1990,1992,2
"smith",1990,1992,2
"smith",1990,1992,2
"smith",1990,1992,2
"smith",1990,1992,7
"smith",1990,1992,6
"smith",1990,1992,7
"smith",1990,1993,2
"smith",1990,1993,7
"smith",1990,1993,8
"smith",1990,1993,2
"smith",1990,1993,7
"smith",1990,1993,2
"smith",1990,1993,2
"smith",1990,1993,3
"smith",1990,1993,3
"smith",1990,1993,2
"smith",1990,1993,2
"smith",1990,1993,2
"smith",1990,1993,6
"smith",1990,1993,2
"smith",1990,1993,6
"smith",1990,1993,2
"smith",1990,1993,2
"smith",1990,1993,2
"smith",1990,1993,2
"smith",1990,1991,7
"smith",1990,1991,8
"smith",1990,1991,6
"smith",1990,1991,7
"smith",1990,1991,8
"smith",1990,1991,8
"smith",1990,1991,7
"smith",1990,1991,8
"smith",1990,1991,8
"smith",1990,1991,8
"smith",1990,1992,6
"smith",1990,1992,7
"smith",1990,1992,7
"smith",1990,1992,7
"smith",1990,1992,7
"smith",1990,1992,9
"smith",1990,1992,8
